31,Squaw Valley,https://stillimg.olympic.org/games/170x170/1960_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/squaw-valley-1960,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Rome_1960/Rome_1960_logo.jpg?interpolation=lanczos-none&resize=170:170
30,Rome,https://stillimg.olympic.org/games/170x170/1960_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/rome-1960,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Squaw_Valley_1960/Squaw_Valley_1960_logo.jpg?interpolation=lanczos-none&resize=170:170
32,Melbourne - Stockholm,https://stillimg.olympic.org/games/170x170/1956_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/melbourne-stockholm-1956,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Melbourne_1956/Melbourne_1956_logo.jpg?interpolation=lanczos-none&resize=170:170
33,Cortina d'Ampezzo,https://stillimg.olympic.org/games/170x170/1956_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/cortina-d-ampezzo-1956,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Cortina_Ampezzo_1956/Cortina_Ampezzo_1956_logo.jpg?interpolation=lanczos-none&resize=170:170
34,Helsinki,https://stillimg.olympic.org/games/170x170/1952_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/helsinki-1952,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Oslo_1952/Oslo_1952_logo.jpg?interpolation=lanczos-none&resize=170:170
35,Oslo,https://stillimg.olympic.org/games/170x170/1952_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/oslo-1952,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Helsinki_1952/Helsinki_1952_logo.jpg?interpolation=lanczos-none&resize=170:170
36,London,https://stillimg.olympic.org/games/170x170/1948_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/london-1948,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/London_1948/London_1948_logo.jpg?interpolation=lanczos-none&resize=170:170
37,St. Moritz,https://stillimg.olympic.org/games/170x170/1948_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/st-moritz-1948,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/St_Moritz_1948/St_Moritz_1948_logo.jpg?interpolation=lanczos-none&resize=170:170
42,Berlin,https://stillimg.olympic.org/games/170x170/1936_1.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/berlin-1936,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Winter/Garmisch_Partenkirchen_1936/Garmisch_Partenkirchen_1936_logo.jpg?interpolation=lanczos-none&resize=170:170
43,Garmisch-Partenkirchen,https://stillimg.olympic.org/games/170x170/1936_2.png?interpolation=lanczos-none&resize=280:280,https://www.olympic.org/garmisch-partenkirchen-1936,https://stillmed.olympic.org/media/Images/OlympicOrg/Medals/Summer/Berlin_1936/Berlin_1936_logo.jpg?interpolation=lanczos-none&resize=170:170
